,Ax,Ay,Az,Gx,Gy,Gz,label
275,-1.29,9.57,0.69,-1.03,-1.58,0.38,0
276,-1.58,8.41,-0.63,-0.56,-1.0,-0.57,0
277,1.18,9.72,-0.91,0.02,-0.08,-1.21,0
278,3.31,12.37,2.19,0.56,0.7,-1.58,0
279,6.56,11.29,4.1,0.03,-0.24,-1.99,0
280,2.72,9.37,4.29,0.43,-0.89,-0.58,0
281,4.57,8.42,1.78,-0.02,-1.91,-0.25,0
282,4.91,11.85,2.48,0.15,-0.81,1.44,0
283,0.13,14.26,2.33,-0.46,0.09,2.74,0
284,-2.17,10.47,1.07,-0.46,0.34,1.75,0
285,-1.27,8.59,0.01,-0.6,-0.34,0.21,0
286,1.14,6.38,-1.39,-0.04,0.24,-0.67,0
287,1.23,8.99,0.14,0.75,1.02,-0.88,0
288,4.17,13.02,3.15,0.9,1.17,-1.37,0
289,5.07,13.01,5.36,0.84,0.24,-1.83,0
290,3.37,8.27,4.05,0.58,-0.25,-0.61,0
291,4.14,7.28,2.25,-0.16,-1.19,-0.57,0
292,4.04,10.89,2.74,0.04,-0.87,0.82,0
293,0.95,13.19,2.35,-0.49,-0.01,1.99,0
294,0.94,10.89,1.89,-0.86,0.95,1.72,0
295,-0.08,10.38,0.76,-0.9,0.1,0.93,0
296,0.69,6.2,0.6,-0.43,-0.06,0.32,0
297,-0.09,6.89,0.42,0.44,0.24,-0.74,0
298,2.27,11.75,1.35,1.16,1.06,-1.35,0
299,1.99,13.37,4.88,1.43,0.61,-1.75,0
300,3.29,11.02,2.62,1.01,-0.52,-1.96,0
301,3.47,7.25,3.73,0.13,-1.27,-0.96,0
302,3.26,9.6,3.71,0.04,-0.75,0.09,0
303,2.1,13.83,3.47,-0.22,-0.02,1.53,0
304,-1.92,13.3,0.75,-0.95,0.36,2.69,0
305,0.15,10.93,0.12,-1.59,-0.36,1.54,0
306,0.17,7.28,0.97,-0.8,0.11,0.86,0
307,-1.14,7.11,-1.16,-0.12,0.26,-0.11,0
308,0.73,10.72,0.34,0.83,0.67,-1.17,0
309,0.73,15.42,3.14,1.96,1.0,-2.22,0
310,3.97,12.42,4.45,0.87,-0.24,-2.32,0
311,5.38,8.03,3.57,0.18,-0.83,-1.59,0
312,3.61,9.12,2.36,0.14,-0.57,0.22,0
313,3.16,13.89,4.1,0.0,-0.57,1.55,0
314,-0.06,14.99,2.25,-1.08,0.66,3.2,0
315,-0.71,12.43,2.26,-1.82,0.39,2.64,0
316,-0.66,7.63,-0.19,-0.9,-0.26,1.02,0
317,-1.02,5.88,-0.94,-0.46,-0.14,0.34,0
318,0.55,9.53,-0.12,0.84,0.09,-1.1,0
319,1.19,14.97,3.44,2.17,0.48,-2.48,0
320,3.9,13.64,2.93,1.45,0.05,-2.74,0
321,5.77,9.18,4.04,0.31,-0.84,-2.41,0
322,3.63,8.72,2.15,0.08,-0.32,-0.2,0
323,2.93,13.61,2.69,0.08,-0.3,1.28,0
324,1.59,14.98,2.82,-0.61,0.49,3.05,0
325,0.35,14.26,2.13,-1.65,-0.17,3.29,0
326,-0.82,8.94,-0.18,-1.65,0.33,1.87,0
327,-1.46,5.92,-1.17,-0.84,0.17,1.1,0
328,-0.54,8.04,-0.61,0.7,0.36,-0.75,0
329,1.1,14.98,2.21,2.25,0.84,-1.86,0
