,Ax,Ay,Az,Gx,Gy,Gz,label
140,5.92,5.21,0.63,-1.8,-0.41,-0.89,1
141,12,7.13,1.55,-0.92,-0.09,-0.32,1
142,10.88,6.1,1.94,-0.14,-0.97,-0.38,1
143,11.29,-0.01,5.64,0.61,0.8,-0.42,1
144,8.89,-3.41,3.03,-1.63,-0.6,1.05,1
145,17.01,1.77,6.4,-2.69,-1.62,1.05,1
146,8.4,8.63,3.58,-1.65,-1.04,0.13,1
147,4.06,5.92,4.66,-0.86,-1.46,-0.78,1
148,6.79,6.57,1.13,-0.43,0.08,-0.74,1
149,14.27,3.57,2.73,1.88,1.05,-0.54,1
150,14.71,-1.41,-0.56,1.03,1.11,0.4,1
151,7.09,-3.6,2.34,-1.15,-0.02,2.26,1
152,18.15,4.98,3.42,-2.24,-1.02,0.49,1
153,10.05,8.66,2.89,-1.45,-0.42,-1.53,1
154,4.26,5.1,-0.71,-0.28,0.2,-0.72,1
155,17.46,7.49,-0.52,1.19,1.11,-0.74,1
156,10.86,-0.08,3.31,1.88,0.53,-0.13,1
157,6.55,-2.62,0.79,0.96,0.97,0.66,1
158,7.86,-5.41,7.69,-1.46,0.32,1.33,1
159,12.04,2.96,7.06,-1.39,-0.84,0,1
160,4.52,5.26,4.07,-1.15,-1.05,-0.65,1
161,3.78,6.76,-2.34,-0.23,-0.54,-0.63,1
162,16.61,5.97,3.34,2.65,0.96,-0.81,1
163,10.76,-2.2,3.37,1.29,0.75,0.25,1
164,9.17,-4.44,-0.47,-0.48,0.6,2.18,1
165,19.66,1.72,4.22,-2.26,-1.31,0.19,1
166,6.44,7.63,8.39,-1.1,-0.89,-0.8,1
167,0,5.38,-2.57,-0.56,-0.2,-0.5,1
168,8.42,6.68,-3.02,1.83,1.26,-2.42,1
169,17.46,2.07,4.51,2.25,0.48,-1.73,1
170,8.35,-4.83,2.94,0.82,-0.08,0.71,1
171,10.01,-4.4,6.43,-1.21,-0.27,2.59,1
172,19.06,9.43,5.67,-2.02,0.24,1.62,1
173,3.23,7.21,-2.68,-1.62,-0.02,-0.67,1
174,4.81,7.06,-2.88,0.52,0.24,-0.85,1
175,17.34,6.07,-0.34,2.67,3.09,-1.55,1
176,14.09,-0.6,5.26,0.53,-0.71,-0.22,1
177,4.37,-5.31,1.53,-0.32,0.02,1.59,1
178,8.94,-4.83,4.97,-1.79,-0.88,1.33,1
179,6.26,3.21,5.32,-1.5,-0.67,0.29,1
180,5.24,5.88,-0.91,-1.09,0.63,-0.78,1
181,8.31,6.24,-2.96,0.51,0.71,-0.71,1
182,20.46,6.18,4.47,2.87,1.95,-0.64,1
183,11.44,-1.74,1.27,1.39,0.22,0.09,1
184,7.47,-5.56,4.33,-0.91,-0.34,1.98,1
185,23.14,1.43,4.92,-2.31,-0.91,0.78,1
186,3.89,5.95,2.73,-2.1,-0.14,-0.59,1
187,2.62,6.91,-2.21,-0.54,0.08,-0.75,1
188,4.82,1.94,-2.95,1.8,0.68,-1.31,1
189,19.73,2.37,8.14,2.41,1.79,-0.6,1
190,10.46,-2.93,2.76,0.71,0.02,0.57,1
191,11.68,-4.4,7.21,-1.19,-0.3,2.49,1
192,18.77,4.56,6.84,-2.61,0.13,0.88,1
193,4.78,6.49,-1.49,-2.05,-0.83,-1.3,1
194,3.51,6.81,-2.49,-0.17,0.74,-0.62,1
195,19.32,7.87,4.12,3.1,-0.18,-1.21,1
196,14.75,0.34,2.06,2.34,0.93,-0.6,1
197,5.42,-6.3,-1.07,0.59,-0.58,1.22,1
198,8.6,-8.96,9.36,-1.75,-0.14,2.32,1
199,11.88,5.13,7.17,-3.68,0.24,0.8,1
200,3.1,5.84,-0.43,-1.58,0.54,-0.31,1
